,,,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tampa,0.356,0.349,0.345,0.345,0.349,0.356,0.365,0.374,0.385,0.391,0.399
St. Petersburg,0.386,0.385,0.388,0.392,0.394,0.411,0.422,0.436,0.449,0.461,0.473
Orlando,0.363,0.361,0.355,0.359,0.363,0.368,0.373,0.396,0.415,0.428,0.426
Jacksonville,0.433,0.423,0.415,0.408,0.407,0.415,0.43,0.442,0.455,0.458,0.464
Fort Lauderdale,0.382,0.381,0.375,0.369,0.383,0.381,0.375,0.384,0.405,0.431,0.441
Miami,0.251,0.25,0.256,0.256,0.263,0.269,0.286,0.301,0.319,0.344,0.366
