,,,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tampa,0.192,0.211,0.214,0.22,0.218,0.212,0.2,0.195,0.186,0.175,0.172
St. Petersburg,0.153,0.161,0.169,0.172,0.172,0.164,0.159,0.149,0.134,0.116,0.124
Orlando,0.173,0.184,0.192,0.198,0.202,0.199,0.191,0.182,0.172,0.161,0.155
Fort Lauderdale,0.188,0.195,0.206,0.212,0.207,0.195,0.193,0.178,0.169,0.158,0.154
Jacksonville,0.152,0.161,0.173,0.178,0.177,0.17,0.164,0.159,0.149,0.15,0.149
Miami,0.277,0.295,0.299,0.299,0.283,0.276,0.258,0.243,0.234,0.215,0.209
