,,,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fort Lauderdale,10972,8444,7314,6679,6679,5829,8820,8936,10401,9084,10216
Jacksonville ,7344,6934,7063,5907,5907,5713,6199,6220,6455,5716,7479
Miami,3644,4142,3852,4299,4299,4425,4247,4316,4813,4820,5359
Orlando,6402,6639,4204,3469,3469,4301,4349,5072,5491,7593,9767
St. Petersburg,6703,6152,5271,4926,4926,4291,3881,5151,4919,5361,6783
Tampa,9322,9749,9857,9914,9914,10427,9249,9154,9296,7393,9289
